onset	duration	sample	value
0	0.002	0	boundary
0.944	0.002	472	S122
1.844	0.002	922	S210
2.52	0.002	1260	S  1
4.076	0.002	2038	S103
4.974	0.002	2487	S203
5.514	0.002	2757	S  1
7.072	0.002	3536	S113
7.97	0.002	3985	S207
8.512	0.002	4256	S  1
10.068	0.002	5034	S112
10.966	0.002	5483	S218
11.472	0.002	5736	S  2
13.016	0.002	6508	S109
13.914	0.002	6957	S209
14.462	0.002	7231	S  1
16.012	0.002	8006	S110
16.91	0.002	8455	S216
17.452	0.002	8726	S  2
19.008	0.002	9504	S120
19.906	0.002	9953	S208
20.336	0.002	10168	S  1
21.888	0.002	10944	S106
22.786	0.002	11393	S212
23.24	0.002	11620	S  1
24.784	0.002	12392	S107
25.684	0.002	12842	S207
26.142	0.002	13071	S  1
27.698	0.002	13849	S116
28.598	0.002	14299	S204
29.056	0.002	14528	S  1
30.612	0.002	15306	S124
31.51	0.002	15755	S206
32.104	0.002	16052	S  1
33.658	0.002	16829	S104
34.558	0.002	17279	S210
35.114	0.002	17557	S  1
36.672	0.002	18336	S121
37.57	0.002	18785	S203
38.052	0.002	19026	S  1
39.602	0.002	19801	S111
40.5	0.002	20250	S211
41.094	0.002	20547	S  1
42.648	0.002	21324	S118
43.546	0.002	21773	S218
44.074	0.002	22037	S  2
45.628	0.002	22814	S114
46.526	0.002	23263	S220
47.056	0.002	23528	S  2
48.608	0.002	24304	S108
49.506	0.002	24753	S208
50.076	0.002	25038	S  1
51.622	0.002	25811	S105
52.52	0.002	26260	S211
53.044	0.002	26522	S  1
54.602	0.002	27301	S119
55.5	0.002	27750	S201
56.018	0.002	28009	S  1
57.564	0.002	28782	S123
58.464	0.002	29232	S223
59.118	0.002	29559	S  2
60.662	0.002	30331	S115
61.56	0.002	30780	S221
62.184	0.002	31092	S  2
63.742	0.002	31871	S102
64.64	0.002	32320	S214
65.11	0.002	32555	S  2
66.654	0.002	33327	S101
67.554	0.002	33777	S213
68.022	0.002	34011	S  2
69.568	0.002	34784	S117
70.466	0.002	35233	S223
70.932	0.002	35466	S  2
72.482	0.002	36241	S109
73.38	0.002	36690	S209
73.902	0.002	36951	S  1
75.444	0.002	37722	S115
76.344	0.002	38172	S209
76.768	0.002	38384	S  1
78.324	0.002	39162	S101
79.224	0.002	39612	S201
79.682	0.002	39841	S  1
81.238	0.002	40619	S121
82.136	0.002	41068	S215
82.596	0.002	41298	S  2
84.152	0.002	42076	S114
85.05	0.002	42525	S214
85.614	0.002	42807	S  2
87.164	0.002	43582	S116
88.064	0.002	44032	S222
88.578	0.002	44289	S  2
90.128	0.002	45064	S112
91.028	0.002	45514	S212
91.492	0.002	45746	S  1
93.042	0.002	46521	S108
93.94	0.002	46970	S202
94.392	0.002	47196	S  1
95.171	3.514	47585.5	boundary
95.438	0.002	47719	S120
96.336	0.002	48168	S220
96.752	0.002	48376	S  2
98.3	0.002	49150	S103
99.2	0.002	49600	S203
99.664	0.002	49832	S  4
101.214	0.002	50607	S106
102.114	0.002	51057	S224
102.66	0.002	51330	S  2
104.212	0.002	52106	S107
105.11	0.002	52555	S213
105.484	0.002	52742	S  3
105.628	0.002	52814	S  4
107.04	0.002	53520	S118
107.94	0.002	53970	S206
108.408	0.002	54204	S  1
109.954	0.002	54977	S117
110.854	0.002	55427	S223
111.362	0.002	55681	S  2
112.918	0.002	56459	S123
113.816	0.002	56908	S223
114.308	0.002	57154	S  2
115.866	0.002	57933	S105
116.764	0.002	58382	S205
117.238	0.002	58619	S  1
118.794	0.002	59397	S111
119.694	0.002	59847	S217
120.228	0.002	60114	S  2
121.774	0.002	60887	S119
122.674	0.002	61337	S219
123.152	0.002	61576	S  2
124.704	0.002	62352	S104
125.604	0.002	62802	S204
126.09	0.002	63045	S  1
127.636	0.002	63818	S110
128.534	0.002	64267	S210
129.044	0.002	64522	S  1
130.598	0.002	65299	S122
131.496	0.002	65748	S222
131.946	0.002	65973	S  2
133.494	0.002	66747	S102
134.394	0.002	67197	S214
134.952	0.002	67476	S  2
136.508	0.002	68254	S113
137.297	3.668	68648.5	boundary
138.666	0.002	69333	S118
139.566	0.002	69783	S224
140.13	0.002	70065	S  2
141.68	0.002	70840	S107
142.578	0.002	71289	S219
143.148	0.002	71574	S  2
144.694	0.002	72347	S105
145.592	0.002	72796	S211
146.118	0.002	73059	S  1
147.674	0.002	73837	S101
148.572	0.002	74286	S207
148.964	0.002	74482	S  4
149.028	0.002	74514	S  4
149.1	0.002	74550	S  7
149.102	0.002	74551	S  3
150.52	0.002	75260	S104
151.418	0.002	75709	S204
151.908	0.002	75954	S  4
152.477	2.2	76238.5	boundary
152.624	0.002	76312	S  2
154.18	0.002	77090	S109
155.078	0.002	77539	S215
155.536	0.002	77768	S  2
157.094	0.002	78547	S112
157.992	0.002	78996	S218
158.484	0.002	79242	S  2
160.04	0.002	80020	S120
160.94	0.002	80470	S220
161.412	0.002	80706	S  2
162.954	0.002	81477	S123
163.854	0.002	81927	S217
164.316	0.002	82158	S  2
165.866	0.002	82933	S122
166.766	0.002	83383	S216
167.094	0.002	83547	S  4
167.244	0.002	83622	S  2
168.798	0.002	84399	S111
169.696	0.002	84848	S205
170.142	0.002	85071	S  1
171.694	0.002	85847	S121
172.592	0.002	86296	S215
173.022	0.002	86511	S  2
174.574	0.002	87287	S124
175.472	0.002	87736	S224
175.874	0.002	87937	S  2
177.42	0.002	88710	S103
178.32	0.002	89160	S203
178.684	0.002	89342	S  1
180.234	0.002	90117	S113
181.134	0.002	90567	S213
181.548	0.002	90774	S  2
183.098	0.002	91549	S115
183.996	0.002	91998	S215
184.404	0.002	92202	S  2
185.96	0.002	92980	S102
186.86	0.002	93430	S202
187.32	0.002	93660	S  1
188.874	0.002	94437	S106
189.774	0.002	94887	S212
190.208	0.002	95104	S  1
191.754	0.002	95877	S108
192.654	0.002	96327	S202
196.416	0.002	98208	S116
197.314	0.002	98657	S216
197.85	0.002	98925	S  2
199.396	0.002	99698	S119
200.294	0.002	100147	S201
200.77	0.002	100385	S  1
202.326	0.002	101163	S110
203.224	0.002	101612	S216
203.77	0.002	101885	S  2
207.441	16.38	103720.5	boundary
207.888	0.002	103944	S212
208.342	0.002	104171	S  1
209.886	0.002	104943	S118
210.784	0.002	105392	S212
211.194	0.002	105597	S  1
212.75	0.002	106375	S106
213.648	0.002	106824	S218
214.238	0.002	107119	S  2
215.78	0.002	107890	S115
216.678	0.002	108339	S215
217.1	0.002	108550	S  2
218.642	0.002	109321	S119
219.542	0.002	109771	S213
220.008	0.002	110004	S  2
221.556	0.002	110778	S124
222.454	0.002	111227	S224
222.9	0.002	111450	S  2
224.452	0.002	112226	S120
225.352	0.002	112676	S214
225.632	0.002	112816	S  3
227.182	0.002	113591	S105
228.082	0.002	114041	S205
228.532	0.002	114266	S  1
230.08	0.002	115040	S104
230.978	0.002	115489	S216
231.51	0.002	115755	S  2
233.06	0.002	116530	S109
233.958	0.002	116979	S203
234.48	0.002	117240	S  4
236.022	0.002	118011	S103
236.922	0.002	118461	S221
237.466	0.002	118733	S  2
239.02	0.002	119510	S121
239.92	0.002	119960	S221
240.386	0.002	120193	S  2
241.932	0.002	120966	S114
242.832	0.002	121416	S214
243.384	0.002	121692	S  2
244.93	0.002	122465	S101
245.828	0.002	122914	S207
246.24	0.002	123120	S  1
247.794	0.002	123897	S110
248.692	0.002	124346	S210
249.07	0.002	124535	S  1
250.624	0.002	125312	S113
251.522	0.002	125761	S201
255.284	0.002	127642	S117
256.184	0.002	128092	S217
256.724	0.002	128362	S  2
258.282	0.002	129141	S123
259.18	0.002	129590	S217
259.572	0.002	129786	S  2
261.128	0.002	130564	S107
262.028	0.002	131014	S219
262.498	0.002	131249	S  2
264.042	0.002	132021	S102
264.94	0.002	132470	S214
265.42	0.002	132710	S  2
266.972	0.002	133486	S108
267.87	0.002	133935	S202
268.374	0.002	134187	S  1
269.918	0.002	134959	S111
270.818	0.002	135409	S211
271.254	0.002	135627	S  1
272.8	0.002	136400	S116
273.698	0.002	136849	S222
274.172	0.002	137086	S  2
275.728	0.002	137864	S118
276.628	0.002	138314	S218
277.2	0.002	138600	S  2
278.742	0.002	139371	S109
279.64	0.002	139820	S221
280.164	0.002	140082	S  2
281.722	0.002	140861	S103
282.622	0.002	141311	S221
283.2	0.002	141600	S  2
284.752	0.002	142376	S111
285.652	0.002	142826	S211
286.126	0.002	143063	S  1
287.682	0.002	143841	S106
288.58	0.002	144290	S206
288.984	0.002	144492	S  1
290.528	0.002	145264	S114
291.428	0.002	145714	S214
291.801	6.906	145900.5	boundary
292.312	0.002	146156	S110
293.212	0.002	146606	S204
293.574	0.002	146787	S  1
295.126	0.002	147563	S120
296.026	0.002	148013	S214
296.42	0.002	148210	S  2
297.974	0.002	148987	S123
298.872	0.002	149436	S211
299.25	0.002	149625	S  1
300.804	0.002	150402	S104
301.702	0.002	150851	S210
305.266	0.002	152633	S107
306.164	0.002	153082	S207
306.622	0.002	153311	S  1
308.178	0.002	154089	S122
309.078	0.002	154539	S216
309.536	0.002	154768	S  2
311.092	0.002	155546	S108
311.99	0.002	155995	S214
312.456	0.002	156228	S  2
314.006	0.002	157003	S121
314.904	0.002	157452	S209
315.34	0.002	157670	S  4
315.452	0.002	157726	S  5
315.454	0.002	157727	S  1
317.002	0.002	158501	S112
317.9	0.002	158950	S224
318.396	0.002	159198	S  2
319.948	0.002	159974	S113
320.848	0.002	160424	S219
321.2	0.002	160600	S  2
322.746	0.002	161373	S105
323.644	0.002	161822	S223
324.154	0.002	162077	S  2
325.708	0.002	162854	S102
326.608	0.002	163304	S214
327.066	0.002	163533	S  2
328.622	0.002	164311	S101
329.52	0.002	164760	S207
330.046	0.002	165023	S  1
331.602	0.002	165801	S115
332.5	0.002	166250	S215
332.946	0.002	166473	S  2
